20-4-17 下午11:48
项目统计

     	  片段	   词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	4012	30713	 177186	 203459	    28	
剩余：  	4012	30713	 177186	 203459	    28	
独特：  	3702	29828	 171539	 197285	    28	
剩余独特：	3702	29828	 171539	 197285	    28	


单文件统计：

文件名                                      	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
UI界面/Bundle.properties                   	1890	1890	1753	  1753	8094	8094	7877	  7877	   46266	    46266	    44977	      44977	   52265	    52265	    50892	      50892	
网站部分/en/404.html                         	   4	   4	   4	     4	  28	  28	  28	    28	     130	      130	      130	        130	     154	      154	      154	        154	
网站部分/en/about.html                       	  37	  37	  35	    35	 149	 149	 146	   146	    1007	     1007	      982	        982	    1146	     1146	     1118	       1118	
网站部分/en/contact.html                     	  37	  37	  36	    36	 208	 208	 207	   207	    1482	     1482	     1455	       1455	    1633	     1633	     1604	       1604	
网站部分/en/documentation.html               	  79	  79	  71	    71	 497	 497	 454	   454	    3432	     3432	     3182	       3182	    3790	     3790	     3503	       3503	
网站部分/en/download.html                    	 186	 186	 155	   155	1684	1684	1517	  1517	    9644	     9644	     8684	       8684	   11188	    11188	    10074	      10074	
网站部分/en/howtos/compatibility.html        	 152	 152	 148	   148	2577	2577	2558	  2558	   13892	    13892	    13747	      13747	   16267	    16267	    16121	      16121	
网站部分/en/howtos/compatibility_deja_vu.html	  28	  28	  24	    24	 392	 392	 385	   385	    1916	     1916	     1890	       1890	    2275	     2275	     2246	       2246	
网站部分/en/howtos/compiling_from_source.html	  57	  57	  54	    54	 452	 452	 447	   447	    2618	     2618	     2601	       2601	    2975	     2975	     2956	       2956	
网站部分/en/howtos/docx.html                 	 179	 179	 154	   154	2165	2165	2065	  2065	   11198	    11198	    10741	      10741	   13145	    13145	    12613	      12613	
网站部分/en/howtos/export_uncleaned_rtf.html 	  48	  48	  44	    44	 242	 242	 234	   234	    1768	     1768	     1735	       1735	    1998	     1998	     1962	       1962	
网站部分/en/howtos/google_translate.html     	  68	  68	  61	    61	 460	 460	 443	   443	    2548	     2548	     2473	       2473	    2925	     2925	     2840	       2840	
网站部分/en/howtos/iceni_infix.html          	  76	  76	  75	    75	1135	1135	1134	  1134	    5789	     5789	     5779	       5779	    6843	     6843	     6833	       6833	
网站部分/en/howtos/linux.html                	  97	  97	  96	    96	1418	1418	1415	  1415	    7305	     7305	     7287	       7287	    8588	     8588	     8568	       8568	
网站部分/en/howtos/localizing_omegat.html    	 118	 118	 105	   105	1612	1612	1568	  1568	    8904	     8904	     8522	       8522	   10345	    10345	     9954	       9954	
网站部分/en/howtos/new_filter.html           	  71	  71	  66	    66	 577	 577	 564	   564	    3394	     3394	     3274	       3274	    3947	     3947	     3814	       3814	
网站部分/en/howtos/preview.html              	  65	  65	  64	    64	 894	 894	 893	   893	    4870	     4870	     4860	       4860	    5675	     5675	     5665	       5665	
网站部分/en/howtos/priorview.html            	  84	  84	  71	    71	 720	 720	 691	   691	    4089	     4089	     3845	       3845	    4697	     4697	     4450	       4450	
网站部分/en/howtos/prop12m.html              	  44	  44	  44	    44	 840	 840	 840	   840	    4832	     4832	     4832	       4832	    5634	     5634	     5634	       5634	
网站部分/en/howtos/text_export.html          	  89	  89	  87	    87	1122	1122	1112	  1112	    6021	     6021	     5933	       5933	    7038	     7038	     6942	       6942	
网站部分/en/howtos/tokenizer.html            	 102	 102	  91	    91	 966	 966	 953	   953	    7078	     7078	     7039	       7039	    7929	     7929	     7888	       7888	
网站部分/en/index.html                       	 102	 102	  98	    98	 850	 850	 843	   843	    4929	     4929	     4874	       4874	    5651	     5651	     5595	       5595	
网站部分/en/philosophy.html                  	  44	  44	  41	    41	 692	 692	 681	   681	    3722	     3722	     3582	       3582	    4360	     4360	     4218	       4218	
网站部分/en/resources.html                   	 127	 127	 120	   120	 767	 767	 739	   739	    5291	     5291	     5031	       5031	    5902	     5902	     5625	       5625	
网站部分/en/reviews.html                     	  35	  35	  35	    35	 181	 181	 181	   181	    1354	     1354	     1354	       1354	    1451	     1451	     1451	       1451	
网站部分/en/sponsorship.html                 	  42	  42	  41	    41	 112	 112	 110	   110	     912	      912	      903	        903	     960	      960	      950	        950	
网站部分/OOoSegMacros-v0.3-README.txt        	  49	  49	  48	    48	 514	 514	 512	   512	    2524	     2524	     2513	       2513	    3006	     3006	     2994	       2994	
网站部分/OOoSegMacros-v0.3.txt               	 102	 102	  81	    81	1365	1365	1231	  1231	   10271	    10271	     9314	       9314	   11672	    11672	    10621	      10621	
